user_id,prediction(adopter)
5,1
41,0
77,0
99,0
106,0
108,0
159,0
249,1
256,1
263,1
288,0
303,1
323,0
333,0
371,0
381,0
399,0
411,0
412,1
437,1
462,1
470,0
473,0
500,1
535,0
550,0
551,1
559,1
585,1
603,0
623,0
630,1
641,0
698,0
719,0
722,0
724,0
727,1
775,1
812,0
823,1
855,0
878,0
897,0
909,0
922,0
926,1
931,0
969,0
988,0
995,0
1013,0
1040,0
1053,0
1066,0
1110,0
1116,0
1129,0
1149,0
1162,0
1203,1
1249,0
1268,0
1283,1
1335,0
1350,0
1353,1
1384,0
1387,0
1407,0
1433,1
1481,0
1496,1
1508,0
1552,1
1567,1
1585,1
1596,0
1598,0
1624,1
1628,1
1640,0
1648,0
1667,1
1709,0
1725,0
1737,0
1773,1
1789,0
1840,0
1870,1
1874,0
1912,0
1979,1
1989,0
2000,0
2015,0
2024,1
2035,1
2048,1
2078,1
2140,0
2182,1
2188,0
2194,0
2233,0
2238,0
2246,0
2282,0
2285,0
2316,0
2349,0
2365,0
2373,0
2395,0
2423,1
2432,0
2445,1
2451,1
2479,1
2483,0
2515,1
2518,0
2564,0
2567,1
2592,0
2603,0
2610,0
2632,0
2641,1
2648,0
2676,0
2699,0
2733,0
2737,1
2765,0
2777,0
2797,1
2803,0
2804,0
2840,1
2841,1
2846,0
2858,0
2894,1
2901,0
2916,1
2930,0
2931,0
2964,1
2968,0
2974,0
2991,0
2994,0
2995,0
3001,1
3042,0
3045,1
3069,1
3097,0
3113,1
3135,0
3154,0
3163,1
3191,0
3192,0
3236,0
3251,1
3257,0
3269,1
3310,0
3312,0
3314,0
3384,0
3396,1
3399,0
3438,1
3493,0
3536,0
3573,0
3605,0
3626,0
3686,1
3729,1
3756,0
3812,0
3857,0
3859,1
3883,0
3894,1
3960,1
3987,0
4000,1
4022,0
4073,1
4105,1
4133,1
4141,0
4154,1
4177,0
4186,1
4206,1
4218,0
4220,0
4270,1
4292,1
4302,1
4333,0
4334,0
4370,0
4390,0
4440,0
4441,0
4459,0
4480,1
4482,0
4488,0
4499,0
4504,1
4554,0
4574,1
4611,1
4623,0
4636,1
4722,0
4732,0
4759,0
4787,1
4862,1
4863,1
4888,0
4907,0
4922,1
4930,1
4961,1
4972,0
4979,0
4986,1
4989,1
4998,0
5078,0
5082,0
5114,0
5129,0
5140,0
5166,1
5180,1
5207,0
5240,0
