user_id,prediction(adopter)
5,0
41,0
77,0
99,1
106,0
108,0
159,0
249,0
256,0
263,0
288,0
303,0
323,0
333,0
371,0
381,0
399,0
411,0
412,0
437,1
462,1
470,0
473,0
500,1
535,1
550,0
551,1
559,0
585,0
603,0
623,1
630,1
641,1
698,0
719,1
722,0
724,1
727,1
775,1
812,0
823,0
855,0
878,0
897,0
909,0
922,0
926,0
931,0
969,0
988,0
995,0
1013,0
1040,0
1053,0
1066,0
1110,1
1116,0
1129,0
1149,1
1162,0
1203,1
1249,1
1268,0
1283,1
1335,1
1350,0
1353,0
1384,0
1387,1
1407,0
1433,1
1481,1
1496,1
1508,0
1552,0
1567,1
1585,1
1596,0
1598,1
1624,1
1628,1
1640,0
1648,1
1667,0
1709,1
1725,0
1737,0
1773,1
1789,0
1840,0
1870,0
1874,0
1912,0
1979,0
1989,1
2000,0
2015,0
2024,0
2035,1
2048,0
2078,0
2140,0
2182,1
2188,0
2194,0
2233,0
2238,0
2246,0
2282,0
2285,0
2316,0
2349,0
2365,1
2373,0
2395,1
2423,1
2432,0
2445,1
2451,0
2479,0
2483,0
2515,1
2518,0
2564,0
2567,0
2592,0
2603,0
2610,0
2632,0
2641,1
2648,0
2676,1
2699,1
2733,1
2737,0
2765,0
2777,0
2797,1
2803,0
2804,0
2840,0
2841,1
2846,0
2858,0
2894,0
2901,0
2916,1
2930,0
2931,0
2964,0
2968,1
2974,0
2991,0
2994,0
2995,0
3001,0
3042,0
3045,0
3069,1
3097,1
3113,0
3135,0
3154,0
3163,0
3191,0
3192,0
3236,0
3251,1
3257,1
3269,0
3310,0
3312,1
3314,1
3384,0
3396,0
3399,0
3438,1
3493,0
3536,0
3573,0
3605,0
3626,0
3686,0
3729,0
3756,0
3812,0
3857,0
3859,1
3883,0
3894,1
3960,0
3987,0
4000,0
4022,0
4073,1
4105,0
4133,1
4141,0
4154,0
4177,1
4186,0
4206,1
4218,0
4220,1
4270,0
4292,1
4302,0
4333,0
4334,1
4370,1
4390,0
4440,1
4441,1
4459,1
4480,0
4482,0
4488,0
4499,1
4504,1
4554,0
4574,0
4611,1
4623,1
4636,0
4722,0
4732,0
4759,0
4787,1
4862,1
4863,0
4888,0
4907,0
4922,1
4930,1
4961,0
4972,0
4979,1
4986,0
4989,1
4998,0
5078,0
5082,1
5114,0
5129,0
5140,0
5166,1
5180,1
5207,0
5240,0
5246,0
5250,1
5319,1
5325,1
5351,1
5356,0
5362,0
5377,0
5421,0
5428,1
5429,0
5460,0
5484,0
5516,0
5533,1
5632,0
5637,0
5655,0
5677,0
5688,1
5750,0
