user_id,prediction(adopter)
5,0
41,0
77,0
99,0
106,0
108,0
159,0
249,1
256,1
263,1
288,0
303,0
323,0
333,0
371,1
381,0
399,0
411,0
412,0
437,0
462,1
470,1
473,1
500,1
535,1
550,0
551,0
559,0
585,1
603,0
623,0
630,0
641,1
698,0
719,1
722,0
724,1
727,0
775,0
812,1
823,1
855,0
878,0
897,0
909,1
922,1
926,1
931,0
969,0
988,0
995,0
1013,0
1040,0
1053,0
1066,0
1110,0
1116,1
1129,0
1149,0
1162,1
1203,1
1249,0
1268,0
1283,1
1335,1
1350,1
1353,0
1384,0
1387,1
1407,0
1433,0
1481,0
1496,1
1508,0
1552,1
1567,0
1585,0
1596,0
1598,1
1624,0
1628,1
1640,0
1648,1
1667,1
1709,1
1725,0
1737,0
1773,1
1789,0
1840,0
1870,0
1874,1
1912,0
1979,1
1989,0
2000,0
2015,0
2024,1
2035,0
2048,0
2078,1
2140,1
2182,0
2188,0
2194,0
2233,0
2238,0
2246,0
2282,0
2285,0
2316,0
2349,0
2365,1
2373,1
2395,0
2423,1
2432,1
2445,1
2451,1
2479,0
2483,1
2515,1
2518,1
2564,0
2567,0
2592,0
2603,0
2610,1
2632,0
2641,1
2648,0
2676,0
2699,0
2733,1
2737,1
2765,0
2777,1
2797,0
2803,1
2804,0
2840,0
2841,1
2846,0
2858,1
2894,1
2901,1
2916,0
2930,0
2931,0
2964,1
2968,1
2974,0
2991,0
2994,0
2995,1
3001,1
3042,1
3045,1
3069,1
3097,1
3113,1
3135,0
3154,1
3163,0
3191,0
3192,1
3236,0
3251,1
3257,1
3269,1
3310,0
3312,1
3314,0
3384,1
3396,0
3399,0
3438,1
3493,0
3536,1
3573,1
3605,1
3626,0
3686,0
3729,1
3756,0
3812,0
3857,0
3859,1
3883,1
3894,1
3960,1
3987,0
4000,0
4022,1
4073,1
4105,1
4133,1
4141,0
4154,0
4177,0
4186,0
4206,1
4218,1
4220,0
4270,1
4292,0
4302,1
4333,0
4334,1
4370,0
4390,1
4440,1
4441,0
4459,1
4480,1
4482,1
4488,1
4499,1
4504,1
4554,0
4574,1
4611,0
4623,0
4636,1
4722,0
4732,0
4759,1
4787,1
4862,0
4863,1
4888,0
4907,0
4922,1
4930,0
4961,1
4972,1
4979,1
4986,0
4989,1
4998,0
5078,1
5082,1
5114,0
5129,0
5140,0
5166,1
5180,0
5207,0
5240,0
5246,0
5250,1
5319,1
5325,0
5351,1
5356,1
5362,0
5377,0
5421,0
5428,0
5429,0
5460,0
5484,0
5516,1
5533,1
5632,1
5637,1
5655,0
5677,1
5688,1
5750,0
